txn_id,client_id,advisor_id,security_id,txn_date,txn_type,shares,price,amount
1,1,22,45.0,2023-12-16,Dividend,455.1138,147.9,67311.33
2,1,22,,2024-12-10,Deposit,,,81363.28
3,1,22,,2023-04-03,Withdrawal,,,19881.98
4,1,22,,2023-07-21,Advisory Fee,,,7130.27
5,1,22,174.0,2024-06-26,Sell,37.0101,212.62,7869.09
6,1,22,,2022-11-05,Withdrawal,,,71728.96
7,1,22,478.0,2021-05-27,Dividend,315.4236,243.52,76811.96
8,1,22,,2023-10-07,Withdrawal,,,37989.96
9,1,22,406.0,2024-10-17,Buy,466.9589,305.91,142847.4
10,1,22,,2020-10-06,Advisory Fee,,,6101.79
11,1,22,484.0,2024-01-09,Sell,457.4321,106.04,48506.1
12,1,22,342.0,2020-06-12,Dividend,99.0308,239.1,23678.26
13,1,22,484.0,2023-04-25,Dividend,472.0851,46.79,22088.86
14,1,22,342.0,2022-06-08,Buy,484.1454,231.07,111871.48
15,1,22,,2024-06-11,Withdrawal,,,93888.88
16,1,22,,2020-04-27,Deposit,,,92629.52
17,1,22,484.0,2021-04-26,Buy,441.2658,198.96,87794.24
18,1,22,,2024-12-19,Deposit,,,92962.02
19,1,22,139.0,2021-07-05,Dividend,30.9847,465.67,14428.65
20,1,22,,2024-03-16,Advisory Fee,,,8160.83
21,1,22,484.0,2020-04-16,Buy,395.9654,330.36,130811.13
22,1,22,,2021-02-21,Withdrawal,,,33640.81
23,1,22,139.0,2023-12-20,Sell,61.7815,284.6,17583.01
24,1,22,,2024-03-04,Advisory Fee,,,7523.38
25,1,22,,2024-09-25,Deposit,,,94893.52
26,1,22,406.0,2020-10-25,Buy,127.6131,71.67,9146.03
27,1,22,424.0,2024-01-28,Dividend,316.7838,311.08,98545.1
28,1,22,45.0,2023-01-17,Dividend,301.746,271.22,81839.55
29,1,22,215.0,2021-05-26,Buy,212.8738,270.37,57554.69
30,1,22,424.0,2021-12-14,Sell,413.788,418.41,173133.04
31,1,22,478.0,2020-11-26,Buy,342.3842,382.76,131050.98
32,1,22,478.0,2023-10-04,Sell,382.5463,362.8,138787.8
33,1,22,174.0,2023-08-25,Buy,361.7792,329.5,119206.25
34,1,22,,2023-10-08,Withdrawal,,,48051.52
35,1,22,,2023-10-17,Withdrawal,,,39311.52
36,1,22,215.0,2020-12-29,Dividend,130.8832,156.07,20426.94
37,1,22,484.0,2020-08-31,Sell,472.5933,434.63,205403.23
38,1,22,,2024-12-20,Deposit,,,68435.13
39,1,22,406.0,2023-02-12,Dividend,374.0408,370.82,138701.81
40,1,22,484.0,2021-03-02,Sell,104.5071,488.37,51038.13
41,1,22,,2020-09-05,Deposit,,,30447.1
42,1,22,174.0,2020-09-02,Sell,53.8503,111.48,6003.23
43,1,22,174.0,2022-01-02,Sell,259.9386,85.33,22180.56
44,1,22,,2024-12-15,Deposit,,,4116.13
45,1,22,484.0,2021-01-28,Buy,238.9656,349.86,83604.5
46,1,22,139.0,2024-05-21,Buy,498.5788,251.95,125616.93
47,1,22,,2021-02-23,Withdrawal,,,78123.68
48,1,22,,2021-02-04,Advisory Fee,,,7615.21
49,1,22,139.0,2021-04-08,Buy,173.8618,278.5,48420.51
50,1,22,174.0,2022-05-05,Buy,69.6236,390.37,27178.96
51,1,22,139.0,2020-05-03,Buy,430.1045,152.63,65646.85
52,1,22,,2023-06-18,Withdrawal,,,6036.53
53,1,22,,2023-05-09,Withdrawal,,,73006.57
54,1,22,484.0,2022-02-20,Buy,402.7161,51.17,20606.98
55,1,22,45.0,2022-04-13,Dividend,15.1257,93.59,1415.61
56,1,22,45.0,2024-08-30,Dividend,151.7534,389.07,59042.7
57,1,22,,2020-01-20,Advisory Fee,,,3819.85
58,1,22,215.0,2024-04-11,Sell,441.9062,41.65,18405.39
59,1,22,174.0,2020-09-16,Buy,70.7675,32.7,2314.1
60,1,22,484.0,2022-05-23,Dividend,221.3869,230.89,51116.02
61,1,22,215.0,2023-01-18,Sell,433.7874,455.12,197425.32
62,1,22,,2023-10-03,Deposit,,,70524.8
63,1,22,342.0,2021-07-29,Buy,377.476,89.89,33931.32
64,1,22,484.0,2024-06-28,Sell,30.1727,79.0,2383.64
65,1,22,139.0,2020-04-13,Buy,83.1694,308.67,25671.9
66,1,22,342.0,2021-05-22,Buy,1.8245,212.05,386.89
67,1,22,45.0,2021-11-06,Buy,227.0173,364.07,82650.19
68,1,22,,2020-04-12,Withdrawal,,,69489.94
69,1,22,478.0,2024-09-15,Buy,452.6291,346.75,156949.14
70,1,22,484.0,2020-11-11,Sell,281.7804,131.93,37175.29
71,1,22,45.0,2021-02-25,Dividend,185.159,267.25,49483.74
72,1,22,,2022-11-28,Deposit,,,86996.09
73,1,22,139.0,2023-11-06,Buy,62.5664,442.7,27698.15
74,1,22,424.0,2024-01-30,Dividend,244.4864,161.74,39543.23
75,1,22,,2020-11-07,Advisory Fee,,,8638.08
76,1,22,478.0,2020-02-23,Buy,205.2112,55.16,11319.45
77,1,22,342.0,2021-05-09,Buy,111.6323,433.95,48442.84
78,1,22,174.0,2024-08-03,Sell,69.332,398.33,27617.02
79,1,22,139.0,2023-12-17,Dividend,413.2534,29.52,12199.24
80,1,22,215.0,2020-03-26,Dividend,189.7082,249.78,47385.31
81,1,22,406.0,2022-09-13,Buy,36.1828,353.99,12808.35
82,1,22,,2022-04-17,Deposit,,,2823.77
83,1,22,,2024-09-24,Deposit,,,21047.06
84,1,22,,2023-12-30,Withdrawal,,,15326.03
85,1,22,,2024-01-18,Deposit,,,45313.68
86,1,22,139.0,2023-12-26,Buy,219.2611,246.79,54111.45
87,1,22,406.0,2024-08-01,Dividend,75.4754,366.21,27639.85
88,1,22,424.0,2020-01-30,Buy,248.9171,155.38,38676.74
89,1,22,,2022-04-09,Deposit,,,808.42
90,1,22,,2020-10-24,Withdrawal,,,22447.64
91,1,22,478.0,2020-10-25,Buy,246.1992,403.17,99260.13
92,1,22,174.0,2023-12-26,Dividend,497.4321,483.19,240354.22
93,1,22,,2021-06-18,Advisory Fee,,,7509.11
94,1,22,139.0,2024-05-27,Buy,351.5094,426.48,149911.73
95,1,22,424.0,2020-04-16,Buy,322.3731,119.18,38420.43
96,1,22,478.0,2024-01-26,Sell,216.3834,341.94,73990.14
97,1,22,478.0,2023-08-11,Buy,39.4068,346.98,13673.37
98,1,22,478.0,2024-07-31,Sell,423.3242,42.9,18160.61
99,1,22,,2021-04-17,Withdrawal,,,33566.27
100,1,22,,2024-05-31,Withdrawal,,,53736.22
101,1,22,45.0,2022-04-24,Buy,298.7267,162.06,48411.65
102,1,22,,2023-11-18,Advisory Fee,,,8520.72
103,1,22,484.0,2020-07-04,Dividend,242.6896,37.3,9052.32
